,sample,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,press_0,press_1,press_2,press_3,press_4,press_5,cop_x_r,cop_y_r,cop_x_l,cop_y_l,cop_x_all,cop_y_all
0,10,339,922,953,331,966,817,29.4026,2.93031,1.96485,30.4654,1.57842,6.7448,0.311105,-5.39941,0.17982,-4.48127,-0.126812,-0.678648
1,20,339,924,954,331,968,817,29.4026,2.86607,1.93475,30.4654,1.51989,6.7448,0.309757,-5.43017,0.184259,-4.50385,-0.129966,-0.701613
2,30,340,922,954,331,968,819,29.2733,2.93031,1.93475,30.4654,1.51989,6.663,0.313767,-5.40006,0.177507,-4.52314,-0.130906,-0.701751
3,40,341,924,953,331,972,817,29.1447,2.86607,1.96485,30.4654,1.40355,6.7448,0.307203,-5.40919,0.192637,-4.53699,-0.143353,-0.705378
4,50,341,923,956,331,968,818,29.1447,2.89816,1.87474,30.4654,1.51989,6.70385,0.317072,-5.41996,0.181199,-4.52151,-0.158263,-0.705663
5,60,341,923,954,331,965,816,29.1447,2.89816,1.93475,30.4654,1.60777,6.78585,0.311829,-5.40498,0.181218,-4.46627,-0.171594,-0.66907
6,70,341,924,954,333,964,816,29.1447,2.86607,1.93475,30.1949,1.63719,6.78585,0.309836,-5.41671,0.182912,-4.4358,-0.149775,-0.658972
7,80,342,923,954,331,966,817,29.0169,2.89816,1.93475,30.4654,1.57842,6.7448,0.311876,-5.39819,0.179979,-4.48524,-0.180336,-0.676116
8,90,343,924,954,331,967,817,28.8898,2.86607,1.93475,30.4654,1.54912,6.7448,0.309915,-5.4032,0.182119,-4.49455,-0.19645,-0.681067
9,100,344,923,954,332,968,816,28.7634,2.89816,1.93475,30.3298,1.51989,6.78585,0.311971,-5.38457,0.189605,-4.48371,-0.191196,-0.66431
10,110,344,924,954,331,967,816,28.7634,2.86607,1.93475,30.4654,1.54912,6.78585,0.309954,-5.39642,0.185505,-4.48487,-0.214878,-0.670108
11,120,344,923,954,333,967,816,28.7634,2.89816,1.93475,30.1949,1.54912,6.78585,0.311971,-5.38457,0.189404,-4.46387,-0.180012,-0.654726
12,130,345,924,954,332,965,818,28.6378,2.86607,1.93475,30.3298,1.60777,6.70385,0.309994,-5.38963,0.176367,-4.47509,-0.217375,-0.665966
13,140,346,924,954,333,967,816,28.5129,2.86607,1.93475,30.1949,1.54912,6.78585,0.310034,-5.38282,0.189404,-4.46387,-0.21552,-0.65133
14,150,347,924,955,332,967,816,28.3888,2.86607,1.90471,30.3298,1.54912,6.78585,0.312764,-5.38369,0.187619,-4.47836,-0.248333,-0.657699
15,160,349,924,955,333,967,816,28.1426,2.86607,1.90471,30.1949,1.54912,6.78585,0.312866,-5.37006,0.189573,-4.46786,-0.263973,-0.644263
16,170,350,923,955,333,965,815,28.0205,2.89816,1.90471,30.1949,1.60777,6.82699,0.314979,-5.35112,0.188659,-4.43935,-0.285566,-0.619789
17,180,351,923,954,334,964,815,27.8992,2.89816,1.93475,30.0609,1.63719,6.82699,0.312307,-5.33643,0.188262,-4.41539,-0.287533,-0.600866
18,190,352,923,955,333,965,816,27.7785,2.89816,1.90471,30.1949,1.60777,6.78585,0.315097,-5.33733,0.185241,-4.44912,-0.313221,-0.618702
19,200,351,924,955,334,965,817,27.8992,2.86607,1.90471,30.0609,1.60777,6.7448,0.312968,-5.35638,0.183755,-4.44832,-0.284638,-0.629125
20,210,352,924,955,334,965,815,27.7785,2.86607,1.90471,30.0609,1.60777,6.82699,0.313019,-5.34951,0.19061,-4.42873,-0.305699,-0.611066
21,220,352,924,955,333,963,815,27.7785,2.86607,1.90471,30.1949,1.66667,6.82699,0.313019,-5.34951,0.184319,-4.42062,-0.328755,-0.607812
22,230,352,924,955,334,964,815,27.7785,2.86607,1.90471,30.0609,1.63719,6.82699,0.313019,-5.34951,0.18843,-4.41934,-0.309712,-0.606715
23,240,353,924,954,333,967,816,27.6585,2.86607,1.93475,30.1949,1.54912,6.78585,0.310315,-5.33476,0.189404,-4.46387,-0.322822,-0.623063
24,250,353,924,954,335,966,815,27.6585,2.86607,1.93475,29.9277,1.57842,6.82699,0.310315,-5.33476,0.19458,-4.42353,-0.299602,-0.6008
25,260,354,924,956,335,965,816,27.5393,2.86607,1.87474,29.9277,1.60777,6.78585,0.315881,-5.34362,0.189289,-4.4319,-0.320518,-0.609718
26,270,353,924,954,334,963,816,27.6585,2.86607,1.93475,30.0609,1.66667,6.78585,0.310315,-5.33476,0.18266,-4.41579,-0.323784,-0.600201
27,280,354,924,953,332,964,816,27.5393,2.86607,1.96485,30.3298,1.63719,6.78585,0.307583,-5.31991,0.18083,-4.44245,-0.362767,-0.60637
28,290,353,923,954,334,964,816,27.6585,2.89816,1.93475,30.0609,1.63719,6.78585,0.312404,-5.32254,0.184836,-4.42518,-0.315098,-0.599748
29,300,353,923,954,335,964,814,27.6585,2.89816,1.93475,29.9277,1.63719,6.86824,0.312404,-5.32254,0.193651,-4.39486,-0.305889,-0.580242
30,310,352,923,954,334,964,816,27.7785,2.89816,1.93475,30.0609,1.63719,6.78585,0.312355,-5.32949,0.184836,-4.42518,-0.299885,-0.603798
31,320,352,924,954,334,963,816,27.7785,2.86607,1.93475,30.0609,1.66667,6.78585,0.310274,-5.34167,0.18266,-4.41579,-0.308556,-0.604251
32,330,352,924,954,334,964,817,27.7785,2.86607,1.93475,30.0609,1.63719,6.7448,0.310274,-5.34167,0.181419,-4.43494,-0.301648,-0.615607
33,340,352,923,954,335,965,815,27.7785,2.89816,1.93475,29.9277,1.60777,6.82699,0.312355,-5.32949,0.192392,-4.41412,-0.283745,-0.595697
